Actual,Predicted
Kevin Streelman beat Camilo Villegas on third play-off hole at Augusta .Tiger Woods played in the par-three contest for the first time since 2004 .Jack Nicklaus recorded his first ever hole-in-one at the Masters .,"Jack Nicklaus recorded his first ever hole-in-one at the Masters on Wednesday, as Camilo Villegas fired two in the space of five holes but still could not win the traditional par-three contest. Villegas holed out on the fourth and eighth as he finished alongside Kevin Streelman on five under par, only to find water on the eighth when he played it again as the third play-off hole. Kevin Streelman holds his trophy aloft after winning the Par-3 Contest on a play-off against Camilo Villegas. Streelman therefore became the latest player to be saddled with the 'curse' of the par-"
"Boy, five, pelts police with stones as Palestinian protesters clash with Israeli police on the northern West Bank .Violence erupted after more than 100 demonstrators took part in a rally to mark Palestinian Prisoners Day .Israel has arrested around 800,000 Palestinians in the occupied territories since 1967 with 6,000 currently being held .","Barely out of nappies, this five-year-old boy was not the most likely candidate to take on six heavily armed troops. But that did not stop the Palestinian youngster, dressed in full combat gear, from attempting to pelt Israeli police with stones during violent clashes on the West Bank. The bemused officers, equipped with helmets and body armour, calmly watched as the child launched his own assault before racing away. The incident raised fears that Palestinian children are being encouraged to mimic and glorify violence. David and Goliath battle: A five-year-old Palestinian boy pelted the Israeli police with stones as violence erupted during a rally in the northern"
Fulham 2-2 Wigan Athletic: CLICK HERE to read the match report .Latics came from behind twice to stun the Cottagers .Gary Caldwell admitted his first taste of management was 'crazy',"Gary Caldwell admitted his first taste of management was 'crazy' following Wigan's battling 2-2 draw against Fulham. The Latics may be heading for relegation but they proved they are ready to go down fighting after twice coming from behind to snatch a point at Craven Cottage. Caldwell, at 32 the youngest boss in the league, only replaced the axed Malky Mackay on Wednesday and must have feared the worst when his side conceded after just three minutes to Ross McCormack's strike. Gary Caldwell admitted his first taste of management was 'crazy' following Wigan's battling 2-2 draw. Wi"
Melbourne penthouse apartment was sold to Chinese businessman for $25 million .Penthouse is in Australia 108 development at Melbourne's Southbank .The 750 square metre apartment is spread across entire 100th floor of super skyscraper .The building will be 319 metres tall - the highest in the southern hemisphere .Construction has started on the building and is due to be complete in 2019 .,"an ultra luxury penthouse standing 319 metres off the ground in the tallest apartment block in the southern hemisphere has been bought off the plan by a Chinese businessman for a record price of $25 million. The Melbourne apartment, which is spread across the entire 100th floor of super skyscraper Australia 108 and boast 360 degrees over the city, is the most expensive single apartment sold in the country, Domain reports. The businessman who splashed out on the 750 square metre apartment on Southbank promenade plans to live in the luxury pad when it is completed. It is tipped to have at least four bedrooms with huge walk in robes and ensuites. Scroll"
"Jet Set Candy's Marry British Royalty Spinner Charm comes in 14K gold vermeil and sterling silver and retails for $198 and $148, respectively .","A travel-inspired jewelry company is targeting those commoners who dream of becoming the next Kate Middleton by marrying into the British Royal family, with a playful necklace designed to help anglophiles map out their fantasy marriages. Jet Set Candy, which offers a collection of destination-specific charms aimed at helping people to choose where they should head on their travels, enables you to take your pick of Britain’s Royals with the Marry British Royalty Spinner Charm, giving users eight possibilities for a 'fanciful charm, which comes in 14K gold vermeil or sterling silver for $198 and $148, respectively. Here's hoping: Jewelry brand"
"Pit crew member Todd Phillips was hit by a car on Sunday during the inaugural IndyCar Grand Prix of Louisiana .He was injured when he was struck by the car of Francesco Dracone, who had come in on Lap 25 for tires and fuel .Phillips received stitches for a cut on his leg and has been released .Dracone did not finish the race and wound up 23rd .","This is the stomach-churning moment a pit crew worker is tossed into the air like a rag doll as he's hit by an out-of-control racing car. Surveillance footage shows 40-year-old Todd Phillips being struck at full speed as he flags down one of his drivers during Sunday's inaugural Indy Grand Prix of Louisiana. As the Dale Coyne Racing team chief mechanic is hit on the leg by the back end of the vehicle he flips forwards and performs a somersault before co-workers rush over to check he's okay. Amazingly Phillips of Franklin, Wisconsin, only"
Photos taken for BBC show Being Human see Aidan Turner with a full 'rug'...but his chest hair in Poldark's shirtless scenes looks distinctly pruned .Fans take to Twitter to comment on new Poldark male grooming debate .Aidan admits he uses baby oil to make his muscles look good in the series .,"first it was revealed that lashings of baby oil were used to keep Aidan Turner's rippling torso looking suitably divine in the hit BBC Sunday night series Poldark. Then came the admission that while Aidan, 31, very 'definitely' did not wear mascara to enhance his seductive stares, he was partial to a little eyeliner to define his smouldering eyes. Now, it seems eagle-eyed Poldark fans have a new question on their lips: just where has Aidan's chest hair gone? Scroll down for video. A good smattering! Has actor Aidan Turner, who"
Miliband overtakes David Cameron as the most popular political leader .It is the first time that Labour leader has been ahead in approval ratings .Labour Party has also taken a commanding four point lead over the Tories .,"Ed Miliband has overtaken David Cameron as the most popular political leader for the first time. In a shock new poll that will send shockwaves through Downing Street, the Labour leader has jumped ahead of the Prime Minister in personal approval ratings. The Labour Party has also taken a commanding four point lead over the Tories with just 28 days until polling day, according to the pollsters Survation. Labour leader Ed Miliband has jumped ahead of the Prime Minister in personal approval ratings, a Survation poll has revealed. The revelation comes in the wake of a furious political row over the Labour leader’s personal character – after the Defence Secretary Michael Fallon"
"#a**holeparents is a hashtag on Instagram to expose 'flawed parenting'Parents posts pictures of their children crying with the hashtag .Children are shown crying because they are being fed and cleaned .'I wouldn't let her have a knife,' captioned one snap of a child sobbing .The hashtag has almost 4000 posts from parents all over the world .","Any parent will tell you that life is their child's party and they'll cry if they want to- especially if they are made to do something they don't feel inclined to. A hilarious new hashtag has popped up on social media site Instagram exposing some of these 'awful' that things parents do to their children- such as giving them a bath (how dare they), putting them in their high chair (so mean), and even giving them cookies (what a truly evil thing to do). #a**holeparent has almost 4000 posts from parents all over world, admitting through their uploaded pictures to cleaning, feeding, and entertaining their children to their immense dissati"
Cro Cop enjoyed revenge with third round knockout in Krakow .Referee stepped in after Filipovic dropped Gabriel Gonzaga to floor .Jimi Manuwa made successful return by outpointing Jan Blachowicz .,"Mirko 'Cro Cop' Filipovic delivered on his promise to exact revenge as he stopped Gabriel Gonzaga in the third round of their long-awaited heavyweight rematch in Krakow. Eight years after their first encounter in which Gonzaga delivered a stunning knockout, Filipovic endured a tough opening two sessions before making his move. Mirko 'Cro Cop' Filipovic made a slow start against Gabriel Gonzaga. After dropping his rival to the canvas, he finished the job with his elbows before the referee stepped in. Filipovic had not fought in the UFC since 2011 and made a slow start as Gonzaga stalke"
James Corden shared the picture on Thursday via Twitter .Corden is currently in America filming late-night talk show Late Late .David Beckham was a guest on the 36-year-old's show last month .,"The saying 'two is company but three's a crowd' clearly didn't apply to James Corden as he met two Beckham sporting stars. The comedian tweeted a picture on Thursday alongside former England captain David Beckham and New York Giants' NFL hotshot Odell Beckham Jnr. Accompanied with the caption: 'Double Beckhams!' Corden was all smiles as he posed in between the duo. James Corden (centre) posted a picture alongside Odell Beckham Jnr (left) and David Beckham via Twitter. Both Beckhams, who are of no relation, were pictured in America with the"
"Paulo Dybala is being tracked by Manchester United, Chelsea and Arsenal .Inter Milan, Juventus and Paris Saint-Germain are among others interested .Inter boss Roberto Mancini was spotted at the Palermo match on Sunday .Palermo president Maurizio Zamparini is demanding £36m from PSG .READ: Dybala says he would love a Serie A stay .","Palermo president Maurizio Zamparini has slapped a €50million (£36m) price tag on Paulo Dybala, telling Paris Saint-Germain they will have to spend big to sign the 'new Lionel Messi'. A bidding war is set to break out over Dybala, who is being tracked by Manchester United, Chelsea, Arsenal, Inter Milan, Juventus and PSG. Roberto Mancini was spotted at the Stadio Ennio Tardini on Sunday, when Palermo lost 1-0 against Parma, and the Inter manager was understood to be there to watch Dybala. Palermo president Maurizi"
"Main roads in Holborn are closed more than 24 hours after fire broke out .More than 1,000 buildings remain without power as a result of the blaze .Local businesses, government offices and tourist attractions are closed .Commuters have been warned to avoid the area as witnesses describe long queues of buses .","London commuters faced traffic chaos this morning while thousands are still without power as firefighters battle to extinguish an underground blaze that has been raging for more than 24 hours. More than 2,000 office workers had to be evacuated yesterday due to the fire in Holborn which apparently started in a tunnel carrying electrical cables, causing flames to erupt from the pavement and filling the area with smoke. Although the blaze has now been brought under control it has not been put out entirely, and firefighters still do not know the cause of the fire. Scroll down for video. Blaze: The scene in Holborn today, where a fire has been raging for more than 24 hours"
Boca Juniors defeated Palestino 2-0 with two late second-half goals .Leandro Marin and Jonatan Calleri were both on the scoresheet .Boca now face arch rivals River Plate in the Copa Libertadores last 16 .,"Boca Juniors set up a mouthwatering Copa Libertadores last-16 clash with fierce rivals River Plate after a 2-0 victory over Palestino to finish Group Five with a 100 per cent winning record. Leandro Marin headed the Argentinian giants into the lead in the final minute but a lengthy delay in the second half meant there was a significant amount of injury time, with Jonatan Calleri sealing all three points in the 11th minute of time added on. Victory over their Chilean opponents ensured Boca finish as the highest seeds of the competition - with no other teams winning all of their group games - while no second placed team can"
